"","Sentence","Interviewee","State","Region","Verb","Verbal_S","Type_of_Subject","Person","Number","Adjacency","Preceding_Segment","Following_Segment","ThirdSingular","Verbal_aspect","Aspect","Verb_Type","Verb2r","PersonNumber"
"540","I left de day I hyard 'bout de surrender an' I fared right good too, do' I knows dem what ain't farin' so well.","Charlie Barbour","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"541","I ain't neber learn ter read an' write an' I knows now dat I neber will.","Charlie Barbour","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"542","Yes 'um, I reckon I wuz glad ter git free, case I knows den dat I won't wake up some mornin' ter fin' dat my mammy or some ob de rest of my family am done sold.","Charlie Barbour","NC","Upper Coast","reckon","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","reckon","First - Singular"
"543","I 'members onct de houn's struck a trail an' dey tree de coon.","Charlie Barbour","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"544","I 'members onct a Yankee 'oman from New York looks at him an' nigh 'bout faints.","Charlie Barbour","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"545","I 'members de days when mammy wored a blue hankerchief 'round her haid an' cooked in de great house","Charlie Barbour","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"546","I 'minds me of de days when as a youngin' I played marbles an' hide an' seek.","Charlie Barbour","NC","Upper Coast","remind","s","Pronoun","Third","Singular","A","C","C","T","dynamic","habitual","rest","remind","Third - Singular"
"547","but iffen we had some now I thinks dat some of dese young niggers what has forgot what dey mammies tol' 'em would do better","Charlie Barbour","NC","Upper Coast","think","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","think","First - Singular"
"548","My mammy had more grit dan any gal I now knows of has in her craw.","Charlie Crump","NC","Upper Coast","have","s","NP","Third","Plural","A","irregular","P","N","state","non-habitual","dhg","have","Third - Plural"
"549","My mammy had more grit dan any gal I now knows of has in her craw.","Charlie Crump","NC","Upper Coast","know","s","Pronoun","First","Singular","N","V","V","N","state","non-habitual","rest","know","First - Singular"
"550","I lak de white folkses an' dey laks me","Charlie Crump","NC","Upper Coast","like","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","like","First - Singular"
"551","I lak de white folkses an' dey laks me","Charlie Crump","NC","Upper Coast","like","s","Pronoun","Third","Plural","A","C","C","N","state","non-habitual","rest","like","Third - Plural"
"552","I 'members hit wuz de last o' April or de fust o' May when dey comed","Charlie Crump","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"553","I sho do 'member when dat man Sherman an' his mens marched through Orange County","Clara Cotton McCoy","NC","Upper Coast","do","0","Pronoun","First","Singular","N","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"554","I 'members kaze 'twas de same day dat my ole black hen hatched de duck eggs I done set her on","Clara Cotton McCoy","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"555","I sho' does want my pension.","Clara Jones","NC","Upper Coast","do","s","Pronoun","First","Singular","N","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"556","We got married  in 1860, de year 'fore de war started, I think.","Clara Jones","NC","Upper Coast","think","0","Pronoun","First","Singular","A","C","P","N","state","non-habitual","rest","think","First - Singular"
"557","I wucks fer de city fer nigh on fifty years, I reckon, an' jis' lately I retired.","Clay Bobbit","NC","Upper Coast","reckon","0","Pronoun","First","Singular","A","C","P","N","state","non-habitual","rest","reckon","First - Singular"
"558","Yo' see de Yankees ain't come through dar","Clay Bobbit","NC","Upper Coast","see","0","Pronoun","Second","","A","V","C","N","dynamic","discourse","rest","see","Second - "
"559","Yo' know dat dar wuz a big slave market in Smithfield dem days","Cornelia Andrews","NC","Upper Coast","know","0","Pronoun","Second","","A","V","C","N","state","non-habitual","rest","know","Second - "
"560","Yo' knows dey ain't let no little runty nigger have no chilluns.","Cornelia Andrews","NC","Upper Coast","know","s","Pronoun","Second","","A","V","C","N","state","non-habitual","rest","know","Second - "
"561","Some of de white folkses wuz slaves, ter git ter de United States an' we niggers ain't no better, I reckons.","Cornelia Andrews","NC","Upper Coast","reckon","s","Pronoun","First","Singular","A","C","P","N","state","non-habitual","rest","reckon","First - Singular"
"562","De fust marster dat I 'members wuz Mr. Cute Williams","Cornelia Andrews","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"563","I 'members a man named Rough somethin' or other","Cornelia Andrews","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"564","I 'specks dat I don't know who my pappy wuz","Cornelia Andrews","NC","Upper Coast","spect","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","spect","First - Singular"
"565","Yes, suh, de wus' I knows 'bout slavery times is what de tole me 'bout how come dey hung my gran'mammy an gran'pappy","Dave Lawson","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"566","Dey say my gran'pappy's Ole Marse was de meanes' white ma de Lawd ever let breath de breaf of life","Dave Lawson","NC","Upper Coast","say","0","Pronoun","Third","Plural","A","irregular","C","N","dynamic","habitual","rest","say","Third - Plural"
"567","Some folks say he stold niggers to sell, but nobody never could catch him.","Dave Lawson","NC","Upper Coast","say","0","NP","Third","Plural","A","irregular","S","N","dynamic","habitual","rest","say","Third - Plural"
"568","seems like I sees two shadows swingin' from de big lim' of dat tree","Dave Lawson","NC","Upper Coast","see","s","Pronoun","First","Singular","A","V","C","N","dynamic","habitual","rest","see","First - Singular"
"569","I sees dem swingin' low side by side wid dey feets near 'bout touchin' de groun'.","Dave Lawson","NC","Upper Coast","see","s","Pronoun","First","Singular","A","V","C","N","dynamic","habitual","rest","see","First - Singular"
"570","seems like I sees two shadows swingin' from de big lim' of dat tree","Dave Lawson","NC","Upper Coast","seem","s","Null","Third","Singular","A","C","C","T","state","non-habitual","rest","seem","Third - Singular"
"571","I reckon I was 'bout fifteen or sixteen den","David Blount","NC","Upper Coast","reckon","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","reckon","First - Singular"
"572","I 'members onct de marster had a oberseer dar dat wuz meaner dan a mean nigger.","David Blount","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"573","an' I disremembers so much","Emeline Morre","NC","Upper Coast","disremember","s","Pronoun","First","Singular","A","C","S","N","state","non-habitual","rest","disremember","First - Singular"
"574","I do remember when they thought eve'ybody 'roun' here was goin' to die","Emeline Morre","NC","Upper Coast","do","0","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"575","Sometimes when I jes sets alone an rocks I wonder if my mammy didn't have it lots easier than I does.","Emeline Morre","NC","Upper Coast","do","s","Pronoun","First","Singular","A","irregular","V","N","aux","non-habitual","dhg","do","First - Singular"
"576","The Welfare gives me regerlar pay, an' now an' then my friends give me a nickel or a dime.","Emeline Morre","NC","Upper Coast","give","s","NP","Third","Singular","A","C","C","N","dynamic","habitual","rest","give","Third - Singular"
"577","The Welfare gives me regerlar pay, an' now an' then my friends give me a nickel or a dime.","Emeline Morre","NC","Upper Coast","give","0","NP","Third","Plural","A","C","C","N","dynamic","habitual","rest","give","Third - Plural"
"578","Of co'se I knows all about Booker Washington","Emeline Morre","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"579","He an' Mis' Kitty lived in that big place on Market Street where the soldiers lives now.","Emeline Morre","NC","Upper Coast","live","s","NP","Third","Plural","A","C","C","N","dynamic","non-habitual","rest","live","Third - Plural"
"580","I lives alone now","Emeline Morre","NC","Upper Coast","live","s","Pronoun","First","Singular","A","C","V","N","dynamic","non-habitual","rest","live","First - Singular"
"581","But I reckon I is eighty because I 'members so much I's jes' about forgotten it all.","Emeline Morre","NC","Upper Coast","reckon","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","reckon","First - Singular"
"582","But I reckon I is eighty because I 'members so much I's jes' about forgotten it all.","Emeline Morre","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","S","N","state","non-habitual","rest","remember","First - Singular"
"583","Sometimes when I jes sets alone an rocks I wonder if my mammy didn't have it lots easier than I does.","Emeline Morre","NC","Upper Coast","rock","s","Pronoun","First","Singular","N","C","V","N","dynamic","habitual","rest","infrequent","First - Singular"
"584","dey say I mus' be eighty","Emeline Morre","NC","Upper Coast","say","0","Pronoun","Third","Plural","A","irregular","V","N","dynamic","habitual","rest","say","Third - Plural"
"585","Sometimes when I jes sets alone an rocks I wonder if my mammy didn't have it lots easier than I does.","Emeline Morre","NC","Upper Coast","set","s","Pronoun","First","Singular","N","C","V","N","dynamic","habitual","rest","set","First - Singular"
"586","I tells you Missus these womens an young girls today are sumpin else.","Emeline Morre","NC","Upper Coast","tell","s","Pronoun","First","Singular","A","C","C","N","dynamic","discourse","rest","tell","First - Singular"
"587","you wish you never knowed 'em","Emeline Morre","NC","Upper Coast","wish","0","Pronoun","Second","","A","S","C","N","state","non-habitual","rest","wish","Second - "
"588","Does you know dat dey warn't no 'ligion 'lowed on dat plantation.","Essex Henry","NC","Upper Coast","do","s","Pronoun","Second","","A","irregular","C","N","aux","non-habitual","dhg","do","Second - "
"589","I hopes dat we can git de ole age pension, case we shore need hit.","Essex Henry","NC","Upper Coast","hope","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","hope","First - Singular"
"590","I knows case I'se seed my little mammy dig ditches wid de best of 'em","Essex Henry","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"591","Dat wus her po'tion you knows","Essex Henry","NC","Upper Coast","know","s","Pronoun","Second","","A","V","P","N","state","non-habitual","rest","know","Second - "
"592","I know dat Miss Jenny Perry, on a neighborin' plantation, 'ud give my mammy food fer us chilluns.","Essex Henry","NC","Upper Coast","know","0","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"593","I 'members de only time dat I eber got drunk wus long den.","Essex Henry","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"594","You see Miss Tempie 'ud see me out at de gat mornin's as dey wus eatin' breakfas' on de ferander","Essex Henry","NC","Upper Coast","see","0","Pronoun","Second","","A","V","C","N","dynamic","discourse","rest","see","Second - "
"595","I 'members dat somebody in town had a fuss wid Marse Rufus 'bout lettin' his niggers run loose in town.","Eustace Hodges","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"596","but I do 'member how Marse Jordan Moss shot Leonard Allen, one of his slaves.","Fanny Cannady","NC","Upper Coast","do","0","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"597","I do 'members dat I wuz de handy boy 'round de house","George Eatman","NC","Upper Coast","do","0","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"598","I reckon dat I done a fair job uv it.","George Eatman","NC","Upper Coast","reckon","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","reckon","First - Singular"
"599","Yo' 'members where ole Company mill is, I reckon?","George Eatman","NC","Upper Coast","reckon","0","Pronoun","First","Singular","A","C","P","N","state","non-habitual","rest","reckon","First - Singular"
"600","Yo' 'members where ole Company mill is, I reckon?","George Eatman","NC","Upper Coast","remember","s","Pronoun","Second","","A","C","C","N","state","non-habitual","rest","remember","Second - "
"601","but I loves her better dan I does my own chilluns now","Henrietta McCullers","NC","Upper Coast","do","s","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"602","I knows dat sometimes she'd have company ","Henrietta McCullers","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"603","Yo' know dat niggers am natu'lly skeerd o' water anyhow","Henrietta McCullers","NC","Upper Coast","know","0","Pronoun","Second","","A","V","C","N","state","non-habitual","rest","know","Second - "
"604","case Abraham Lincoln ain't mean't fer it ter be dis way, I know","Henrietta McCullers","NC","Upper Coast","know","0","Pronoun","First","Singular","A","V","P","N","state","non-habitual","rest","know","First - Singular"
"605","an' now dat she's daid I loves her in her grave","Henrietta McCullers","NC","Upper Coast","love","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","love","First - Singular"
"606","but I loves her better dan I does my own chilluns now","Henrietta McCullers","NC","Upper Coast","love","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","love","First - Singular"
"607","Ask for what you needs","Henrietta McCullers","NC","Upper Coast","need","s","Pronoun","Second","","A","C","P","N","state","non-habitual","rest","need","Second - "
"608","I reckon dat most o' dem soldiers wus pore white trash.","Henrietta McCullers","NC","Upper Coast","reckon","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","reckon","First - Singular"
"609","I 'member dat my mammy wus named Piety do'","Henrietta McCullers","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"610","an I 'members my fust lesson from Mis' Betsy","Henrietta McCullers","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"611","All my life when I done a bad thing I think 'bout Mis' Betsy's teachin's an' I repents","Henrietta McCullers","NC","Upper Coast","repent","s","Pronoun","First","Singular","A","C","P","N","dynamic","habitual","rest","infrequent","First - Singular"
"612","All my life when I done a bad thing I think 'bout Mis' Betsy's teachin's an' I repents","Henrietta McCullers","NC","Upper Coast","think","0","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","think","First - Singular"
"613","I think dat Marse Nat had a whole passell o' slaves","Henrietta McCullers","NC","Upper Coast","think","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","think","First - Singular"
"614","I often thinks dat maybe he married Mi's Betsy to look atter him.","Henrietta McCullers","NC","Upper Coast","think","s","Pronoun","First","Singular","N","C","C","N","state","non-habitual","rest","think","First - Singular"
"615","dat's one reason dat I wants ter go ter heaben","Henrietta McCullers","NC","Upper Coast","want","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","want","First - Singular"
"616","needs mind you, not what you wants.","Henrietta McCullers","NC","Upper Coast","want","s","Pronoun","Second","","A","C","P","N","state","non-habitual","rest","want","Second - "
"617","Yo' axes me what I thinks of Massa Lincoln?","Henry Bobbitt","NC","Upper Coast","ask","s","Pronoun","Second","","A","S","C","N","dynamic","non-habitual","rest","ask","Second - "
"618","I know dat dey done dat case I seed it wid my own eyes","Henry Bobbitt","NC","Upper Coast","know","0","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"619","I reckon 'bout de funniest thing 'bout our plantation wuz de marryin'.","Henry Bobbitt","NC","Upper Coast","reckon","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","reckon","First - Singular"
"620","I got one whuppin' dat I 'members","Henry Bobbitt","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","P","N","state","non-habitual","rest","remember","First - Singular"
"621","I 'members de day moughty well when de Yankees come.","Henry Bobbitt","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"622","I tell you folkses ain't lak dey uster be","Henry Bobbitt","NC","Upper Coast","tell","0","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","tell","First - Singular"
"623","Yo' axes me what I thinks of Massa Lincoln?","Henry Bobbitt","NC","Upper Coast","think","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","think","First - Singular"
"624","Well I thinks dat he wuz doin' de wust thing dat he could ter turn all dem fool niggers loose when dey ain't got no place ter go an' nothin' ter eat.","Henry Bobbitt","NC","Upper Coast","think","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","think","First - Singular"
"625","an' I want ter tell you dat I has seen some real sales","Henry Bobbitt","NC","Upper Coast","want","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","want","First - Singular"
"626","How does I live?","Jane Lee","NC","Upper Coast","do","s","Pronoun","First","Singular","A","irregular","V","N","aux","non-habitual","dhg","do","First - Singular"
"627","De county gives me two dollars a month","Jane Lee","NC","Upper Coast","give","s","NP","Third","Singular","A","C","C","T","dynamic","habitual","rest","give","Third - Singular"
"628","but I know dat Marse Henry had six or seben.","Jane Lee","NC","Upper Coast","know","0","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"629","ner nothin' dat I knows of.","Jane Lee","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"630","Well I lives now an' den.","Jane Lee","NC","Upper Coast","live","s","Pronoun","First","Singular","A","V","V","N","dynamic","non-habitual","rest","live","First - Singular"
"631","Mr. Parrish sold hit to Judge Brooks wid de understandin' dat hit am mine long as I live.","Jane Lee","NC","Upper Coast","live","0","Pronoun","First","Singular","A","C","P","N","dynamic","non-habitual","rest","live","First - Singular"
"632","I 'members de Yankees comin' good as iffen hit wus yesterday.","Jane Lee","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"633","Sometimes when I gits de chanct I goes back now.","John Beckwith","NC","Upper Coast","get","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","get","First - Singular"
"634","Sometimes when I gits de chanct I goes back now.","John Beckwith","NC","Upper Coast","go","s","Pronoun","First","Singular","A","V","C","N","dynamic","habitual","dhg","go","First - Singular"
"635","I reckon dat I wuz 'bout nin years old at de surrender","John Beckwith","NC","Upper Coast","reckon","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","reckon","First - Singular"
"636","I 'members de times when she rock me ter sleep","John Beckwith","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"637","but it 'minds me of de happy days.","John Beckwith","NC","Upper Coast","remind","s","Pronoun","Third","Singular","A","C","C","T","dynamic","habitual","rest","remind","Third - Singular"
"638","I was happy den as I thinks back of it","John Beckwith","NC","Upper Coast","think","s","Pronoun","First","Singular","A","C","C","N","dynamic","habitual","rest","think","First - Singular"
"639","I wish dat yo' would apply fer my ole aged pension fer me.","John Beckwith","NC","Upper Coast","wish","0","Pronoun","First","Singular","A","S","C","N","state","non-habitual","rest","wish","First - Singular"
"640","Look at dese hyar seben chilluns, dey am my great gran'-chillun an' dey got a heap mo' sense dan I has right now","John Coggin","NC","Upper Coast","got","0","Pronoun","Third","Singular","A","C","V","N","state","non-habitual","rest","got","Third - Singular"
"641","You knows dat niggers ain't had no sense den, now dey has","John Coggin","NC","Upper Coast","have","s","Pronoun","Third","Singular","A","irregular","P","N","state","non-habitual","dhg","have","Third - Singular"
"642","Look at dese hyar seben chilluns, dey am my great gran'-chillun an' dey got a heap mo' sense dan I has right now","John Coggin","NC","Upper Coast","have","s","Pronoun","First","Singular","A","irregular","C","N","state","non-habitual","dhg","have","First - Singular"
"643","You knows dat niggers ain't had no sense den, now dey has","John Coggin","NC","Upper Coast","know","s","Pronoun","Second","","A","V","C","N","state","non-habitual","rest","know","Second - "
"644","Hit wuz jist a little whuppin' but I 'members hit all right","John Coggin","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"645","I 'members dat de fust I hyard of de Yankees wuz when young marster come in an' says, ""Lawd pa, de Yankees am in Raleigh""","John Coggin","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"646","but my manners gives me many a chance to laff","John Evans","NC","Upper Coast","give","s","Pronoun","Third","Plural","A","C","C","N","dynamic","habitual","rest","give","Third - Plural"
"647","I don't know nothin' 'bout all the mean things I hear tell about slaves an' sich.","John Evans","NC","Upper Coast","hear","0","Pronoun","First","Singular","A","C","C","N","state","habitual","rest","hear","First - Singular"
"648","I knows de room, 'twas upstairs","John Evans","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"649","Now you know dat tickled me.","John Evans","NC","Upper Coast","know","0","Pronoun","Second","","A","V","C","N","state","non-habitual","rest","know","Second - "
"650","I remember eve'ybody had work to do in slavery","John Evans","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"651","but fust I want to say the most I learned on Middle Sound was 'bout fishin' an' huntin'","John Evans","NC","Upper Coast","want","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","want","First - Singular"
"652","I believe we was all happy as slaves because we had the best of kere.","John H. Jackson","NC","Upper Coast","believe","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","believe","First - Singular"
"653","I brought up Ms -----'s chil'ren an now she gives me a life intrust in this place I lives in","John H. Jackson","NC","Upper Coast","give","s","Pronoun","Third","Singular","A","C","C","T","dynamic","habitual","rest","give","Third - Singular"
"654","You know, they lays a heap o' stress on edication these days.","John H. Jackson","NC","Upper Coast","know","0","Pronoun","Second","","A","V","C","N","state","non-habitual","rest","know","Second - "
"655","You know, I'm not tellin you things what have been told me, but I'm tellin' you things I knows.","John H. Jackson","NC","Upper Coast","know","0","Pronoun","Second","","A","V","V","N","state","non-habitual","rest","know","Second - "
"656","You know, I'm not tellin you things what have been told me, but I'm tellin' you things I knows.","John H. Jackson","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","P","N","state","non-habitual","rest","know","First - Singular"
"657","but I'm tellin' you I knows a lot of common colored folks was in it because I seen 'em sittin' on the piazza ","John H. Jackson","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","V","N","state","non-habitual","rest","know","First - Singular"
"658","but so far as I knows the carpenters an' people like that started work at 8 o'clock A. M.","John H. Jackson","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"659","You know, they lays a heap o' stress on edication these days.","John H. Jackson","NC","Upper Coast","lay","0","Pronoun","Third","Plural","A","V","V","N","dynamic","habitual","rest","infrequent","Third - Plural"
"660","I brought up Ms -----'s chil'ren an now she gives me a life intrust in this place I lives in","John H. Jackson","NC","Upper Coast","live","s","Pronoun","First","Singular","A","C","V","N","dynamic","non-habitual","rest","live","First - Singular"
"661","I remember when they was finishin' up the City Hall.","John H. Jackson","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"662","I also remember the foreman, Mr. James Walker.","John H. Jackson","NC","Upper Coast","remember","0","Pronoun","First","Singular","N","C","C","N","state","non-habitual","rest","remember","First - Singular"
"663","I remember all the brick layers, they all was colored.","John H. Jackson","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","V","N","state","non-habitual","rest","remember","First - Singular"
"664","I remember when the Zoabbes company came from Georgia here to wilmin'ton","John H. Jackson","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"665","I remember when the Confederates captured part of the Union Army at Fort Sumter, S.C.","John H. Jackson","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"666","I remember when Gen'ral Grant's Army came to the river.","John H. Jackson","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"667","I remember when that Provo Marshell told the colored people that any house in Wilmin'ton they liked, that was empty, they could go take it","John H. Jackson","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"668","I remember when they didn't have no trussels 'cross either river","John H. Jackson","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"669","I remember when the Fourth Street Fire Department bell was in front of the City Hall","John H. Jackson","NC","Upper Coast","remember","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"670","They say Mr. Dudley told 'em if they'd vote for him he'd do more for 'em than any man ever had.","John H. Jackson","NC","Upper Coast","say","0","Pronoun","Third","Plural","A","irregular","C","N","dynamic","habitual","rest","say","Third - Plural"
"671","an' a whole heap of others dat I disremembers right now.","Julius Nelson","NC","Upper Coast","disremember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","disremember","First - Singular"
"672","I does know dat my mammy wus named Ann an' my pappy was named Alex.","Julius Nelson","NC","Upper Coast","do","s","Pronoun","First","Singular","N","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"673","Anyhow I jist barely does 'member how de ho'n blowed 'fore de light o' de day","Julius Nelson","NC","Upper Coast","do","s","Pronoun","First","Singular","N","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"674","but I does know dat de Ku Kluxes done give us a heap of trouble ","Julius Nelson","NC","Upper Coast","do","s","Pronoun","First","Singular","A","irregular","C","N","aux","non-habitual","dhg","do","First - Singular"
"675","but I knows how ter treat white folkses","Julius Nelson","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"676","an' I knows dat de wuck an de healthy rations dat de niggers got 'fore de war am why dey am strong dan de young niggers o' dis day.","Julius Nelson","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"677","but I means dem what could wuck","Julius Nelson","NC","Upper Coast","mean","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","mean","First - Singular"
"678","One Christmas we had a big tub of candy, I reckolicts.","Julius Nelson","NC","Upper Coast","recollect","s","Pronoun","First","Singular","A","C","P","N","state","non-habitual","rest","recollect","First - Singular"
"679","I sez us","Julius Nelson","NC","Upper Coast","say","s","Pronoun","First","Singular","A","irregular","V","N","dynamic","habitual","rest","say","First - Singular"
"680","I knows dat de house ain't so clean","Laura Bell","NC","Upper Coast","know","s","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"681","I think till I wus fifteen","Laura Bell","NC","Upper Coast","think","0","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","think","First - Singular"
"682","I  know one time do' missus 'cides ter whup a 'oman fer somethin'","Lila Nichols","NC","Upper Coast","know","0","Pronoun","First","Singular","A","V","C","N","state","non-habitual","rest","know","First - Singular"
"683","I 'members de Ku Klux Klan","Lila Nichols","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"684","Hit wus in de little Baptist church at Neuse whar I fust seed big black Jim Dunn an' I-fell in love wid him den, I reckons.","Lucy Ann Dunn","NC","Upper Coast","reckon","s","Pronoun","First","Singular","A","C","P","N","state","non-habitual","rest","reckon","First - Singular"
"685","I 'members when word come dat war wus declared","Lucy Ann Dunn","NC","Upper Coast","remember","s","Pronoun","First","Singular","A","C","C","N","state","non-habitual","rest","remember","First - Singular"
"686","but seems lak we're young agin when I smell honeysuckles er see a yaller moon","Lucy Ann Dunn","NC","Upper Coast","see","0","Pronoun","First","Singular","N","V","V","N","state","habitual","rest","see","First - Singular"
"687","but seems lak we're young agin when I smell honeysuckles er see a yaller moon","Lucy Ann Dunn","NC","Upper Coast","seem","s","Null","Third","Singular","A","C","C","T","state","non-habitual","rest","seem","Third - Singular"
"688","but seems lak we're young agin when I smell honeysuckles er see a yaller moon","Lucy Ann Dunn","NC","Upper Coast","smell","0","Pronoun","First","Singular","A","C","C","N","state","habitual","rest","infrequent","First - Singular"
